매물종류,거래방식,가격,위치,거리,소재지,매물특징,계약/전용면적,해당층/총층,융자금,월관리비,방향,입주가능일,주차가능여부,총사무실수,총주차대수,난방(방식/연료),사용승인일,건축물 용도,매물번호,매물설명,중개사,중개보수,상한요율
대형사무실 JH빌딩,월세,"5억/2,000","(-9371.62, -2468.74)",167.76568469103253,서울시 강남구 신사동,"실사진O,언주로 골프거리,무권리 1층 전용50형,쇼룸추천,업종협의",164.57㎡/164.57㎡(전용률100%),1/5층,없음,0원,-,즉시입주,가능,정보 없음,1대,-/-,2010.05.20,제2종 근린생활시설,2328414395,"공간에 보다 높은 가치를 채웁니다.&010.4041.5055&&☆ Key Point ☆&보5억 /월2,000만/ 관리비 협의&전용50평 / 1층(E/V 有) / 無권리/ 골프거리, 언주로대로/ 업종협의 &&▨ 매물브리핑 ▨ &&▶ 임차 조건: 5억 / 2,000만원 /관리비 협의&▶ 해 당 층: 1층 (E/V有)&▶ 면 적 : 전용 50평&▶ 주 차 : 무료1대&▶ 권 리 금 : 無&▶ 위 치 : 압구정역7분,언주로 골프거리&▶ 입주 시기 : 즉시 가능&&▨ 매물평 ▨&&- 언주로 대로변, 골프거리 1층&- 대로변 전면 통창 구조, 쇼룸/안테나샵 추천&&물건 귀한 골프거리 1층 쇼룸 자리입니다&가시성 좋은 코너 건물로&대로변 쪽으로 통창 나있어 가시성 뛰어납니다.&&연층 사용 가능하며&관리비는 추후 시세대로 협의 예정입니다.&&현재 매장 앞 주차 많이 대어져 있습니다만&입주하시면 관리 가능한 부분입니다.&&임차조건 및 업종 최대한 협의드립니다.&문의는 010.4041.5055로 주세요.&&& ◈ 부동산채움 공인중개사사무소 ◈&▷소 재 지: 서울 강남구 압구정로 134 , 1층 4호& (신사동, 타워빌딩)&▷등록 번호: 11680-2021-00369 &▷담 당: 황윤정 실장 010-4041-5055","부동산채움공인중개사사무소길찾기
대표황윤정등록번호
소재지
서울특별시 강남구 신사동 549-1 타워빌딩 1층 4호
전화010-4041-5055,010-4041-5055
최근 3개월 집주인확인 6건
매매6전세0월세211단기0","최대 2,250만원(VAT 별도)",0.9%
일반상가 언주로 골프거리 1층 쇼룸안테나샵,월세,"5,000/370","(-9356.28, -2486.82)",212.35843137547764,서울시 강남구 신사동,무권리 압구정역 인근 신사동 상가 건물 외관 및 내부 깔끔,99.97㎡/99.9㎡(전용률100%),2/5층,없음,40만원,남향(주된 출입구 기준),즉시입주 협의가능,가능,정보 없음,4대,-/-,2012.01.16,제2종 근린생활시설,2328267860,"✨특징✨&&✅ 압구정역 인근 대로변 안쪽으로 접근성 좋습니다&✅ 소망교회, 도산공원, 압구정하이츠파크 등에서 가깝습니다.&✅ 내부 남녀 구분 화장실&✅ 엘레베이터⭕, 주차1대⭕, 발렛⭕&✅ 무권리로 진행 가능합니다.&&✨최고의, 최적의 물건을 찾아드리겠습니다✨&랜드마크 부동산만의 특별한 노하우로 항상 기대 이상의 가치를 제공해드릴것을 약속드리며, 점점 더 발전 가능 할 수 있도록 발판이 되는 파트너가 되겠습니다.&랜드마크 공인중개사사무소&📞010-7549-6627","랜드마크공인중개사사무소길찾기
대표김해윤등록번호
소재지
서울특별시 강남구 테헤란로 428 (대치동, 테헤란로 대우 아이빌) 1층 213호
전화02-508-8144,010-9188-4595
최근 3개월 집주인확인 62건
매매19전세2월세1183단기2",최대 378만원(VAT 별도),0.9%
일반상가,월세,"5억/2,000","(-9356.28, -2486.82)",212.35843137547764,서울시 강남구 신사동,"시작V. 도산공원 대로변. 1층 전면 통창, 2층 3층 연층 임대 가능",164.57㎡/164.57㎡(전용률100%),1/5층,없음,0원,동향(주된 출입구 기준),즉시입주,가능,정보 없음,5대,개별난방/-,2010.05.20,제1종 근린생활시설,2328239822,"■ 매물정보 ■&【 가격 】 : 5억 / 2,000만원 (관리비 포함)&【 권리금 】 : 없음 &【 면적 】 : 계약 약 49평 &【 층수 】 : 1층 전체 / 엘리베이터 O &&&■ 상세정보 ■&【 위치 】 : 언주로 대로변, 압구정역 도보 7분 (390m)&【 주차 】 : 무료주차 1대&【 입주일 】 : 즉시 가능 &【 화장실 】 : 내부 남녀 구분 화장실&【 간판 】 : 전면&【 공간 】 : 원상복구 상태&【 특징 】 : &-큰 대로변 코너건물, 노출 우수&-전면 통유리 구조, 쇼룸 활용 가능&-2층~5층 연층 사용 가능&&&■ 시작부동산만의 장점 ■&【 조율 】 - 렌트프리 / 금액 / 세부사항 / 조건 적극적 협의&【 순발력 】 빠르고 신속한 응대&【 젊음 】 - 넘치는 에너지의 기동력&【 센스 】 - 원스톱 브리핑 및 투어 후 매물 요점 자료 안내&【 정직 】 - 거짓 없이 정확하고 확실한 정보 전달&【 신뢰 】 - 계약 후에도 지속적인 관리&【 픽업 서비스 】&&☎연락처 : 010-6460-9296","주식회사시작부동산중개법인
대표채희도등록번호
소재지
서울특별시 강남구 논현동 100-13 1층
전화02-6953-6899,010-6460-9296","최대 2,250만원(VAT 별도)",0.9%
일반상가,월세,"5억/2,000","(-9356.28, -2486.82)",212.35843137547764,서울시 강남구 신사동,골프거리 1층 무권리 연층사용가능 대로변,164.57㎡/164.57㎡(전용률100%),1/5층,없음,100만원,동향(주된 출입구 기준),즉시입주,가능,정보 없음,5대,개별난방/-,2010.05.20,제2종 근린생활시설,2328239138,"@상담전화: 02-544-4155@&@상담전화: 02-544-4155@&@상담전화: 02-544-4155@&&★ 도산공원사거리 인근에 위치해 있습니다~&&★ 골프패션의 거리로 유명한 라인입니다~&&★ 대로변 1층 상가 입니다~&&★ 무권리 진행합니다~&&★ 전용 약 49평 가량 나옵니다~&&★ 위에층도 임대가능하여 연층으로 사용도 가능합니다~&&★ 1층 매장 앞은 주차 불가하도록 통제 가능합니다~&&★ 공동관리비 100만원 입니다~&&&@@공동중개는 정중히 사양하겠습니다@@&&〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓&이 외에도 광고에 못 올린&다양한 추가 매물들이 많이 있습니다!&언제든 연락주시면 원하시는 매물을 찾아드립니다.&&@대표번호: 02-544-4155@&&도성공인중개사사무소&대표 : 윤정식&A.서울시 강남구 삼성동35-22, 1F&등록번호 : 11680-2017-00043&〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓","도성공인중개사사무소톡톡문의길찾기
대표윤정식등록번호
소재지
서울특별시 강남구 삼성동 35-22 번지 102호
전화02-544-4155
최근 3개월 집주인확인 82건
매매55전세16월세182단기0","최대 2,250만원(VAT 별도)",0.9%
일반상가,월세,"2억/1,000","(-9337.18, -2502.85)",257.7167090314538,서울시 강남구 신사동,도산공원 인근 무권리 단독주택형 인테리어 통임대,183.88㎡/183.88㎡(전용률100%),1/2층,없음,0원,남향(주된 출입구 기준),즉시입주,가능,정보 없음,2대,개별난방/-,1988.04.27,단독주택,2328137774,"──────────▣세부임대내역▣─────── &■ 임대료: 보증금 2억 / 월세 1000만(관리비포함)&■ 해당층 : 1층~2층(연층)&■ 주차 : 무료2대&■ 권리무&────────── ▣상세정보▣─────────&■ 도산공원 인근 코너 단독주택형 상가로 접근성 우수함&■ 건물 외관 컨디션 준수하며 내부 아늑한 분위기의 엔틱한 인테리어 완비&■ 무권리에 연층 사용으로 내부계단+내부 화장실 완비&■ 룸7+거실2+탕비실(조리실) 구조&■ 무료주차2대(3대까지 가능)&&&■ 금액 조절 , 렌트프리 협의.&■ 상단 매물번호 를 말씀해 주시면 더욱 신속한 상담가능.&&───────────NOBLE───────────&▶주식회사 강남노블부동산중개법인&▶ 강남구 도산대로89길 35, 1층&▶ Tel: 02-554-5411&─────────────────────────&▶ 궁금하신 점 문의 주시면 진정성 있는 컨설팅으로 & 도와 드리겠습니다!!!&▶ 시간낭비하시지 않도록 최선의 물건으로 중개해드리겠습 & 니다!!!&▶ 100% 실매물 실사진(허위광고 NO)&▶ 강남 서초 일대 상가 사무실 매물 다수 확보!!!!&─────────────────────────&※임대인을 통한 정확한 매물정보와 직접 촬영한 최신 & 실사진으로 정확하고 신뢰감있는 중개를 약속합니다.","주식회사 강남노블부동산중개법인길찾기
대표서시은등록번호
소재지
서울특별시 강남구 도산대로89길 35 청담범신칼릭스빌2차 (청담동, 청담범신칼릭스빌2차)
전화02-554-5411,010-8933-5333
최근 3개월 집주인확인 15건
매매1전세1월세252단기0","최대 1,080만원(VAT 별도)",0.9%
일반상가,월세,"3억/3,500","(-9327.72, -2501.36)",265.017816626618,서울시 강남구 신사동,신사동 신축건물 전층통임대,정보 없음,정보 없음,없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,2328276335,"No.1 ANAHA PROPERTY&&24H 매입문의/매각문의/임대문의&&TEL) 02-544-7781&TEL) 02-544-7781&TEL) 02-544-7781& &(주)아나하빌딩부동산중개법인은 고객과 신뢰와 정직을 최우선으로 생각하고 자문해드리고 있습니다. 현재, 대형로펌, 회계법인, 금융전문가, 건축시행사, 자산운용사와의 제휴를 통해 VIP고객을 대상으로 빌딩자산컨설팅, 법률자문, 세무컨설팅 등 전문적인 One-Click 종합자산 컨설팅을 제공하고 있으며 현재 보시고 계시는 매물 이외에도 공개되지 않은 최고의 서울 전 지역 매물들을 보유하고 있습니다.&&업계 특성상 노출되지 않은 좋은 매물들을 보유하고 있으니 유선상담문의 주시면 도움드리겠습니다. &&감사합니다.","주식회사아나하빌딩부동산중개법인
대표구본주등록번호
소재지
서울특별시 강남구 도산대로 222 4층 (논현동)
전화02-544-2272,02-544-7781","최대 3,420만원(VAT 별도)",0.9%
대형사무실,월세,"5억/5,000","(-9431.55, -2376.05)",62.83855805558125,서울시 강남구 신사동,도산공원 통사옥 핫플레이스,1071.62㎡/826.45㎡(전용률77%),1/5층,없음,0원,북향(주된 출입구 기준),즉시입주 협의가능,가능,-,11대,개별난방/-,2001.03,제2종 근린생활시설,2330987020,정보 없음,"(주)퍼스트부동산중개법인
대표박선주등록번호
소재지
서울특별시 강남구 역삼동 668-2 용마빌딩 1층 일부
전화02-546-1355","최대 4,950만원(VAT 별도)",0.9%
대형사무실,월세,"3억/2,000","(-9337.24, -2336.39)",164.90012153813475,서울시 강남구 신사동,-,205.36㎡/164.66㎡(전용률80%),4/4층,없음,150만원,북서향(주된 출입구 기준),즉시입주,가능,1,11대(세대당 11.00대),개별냉난방/-,2023.04.07,제2종 근린생활시설,2330707569,"★★ 전속 입니다 ★★&- 도산공원 바로 앞 입지한 신축 건물&- 통창으로 도산공원 뷰 및 개방감 매우 우수함&- 5층 루프탑 테라스 사용 가능&- 카리프트식 주차 대표님 차량 1대 배정&- 추가 주차 불가 / 발렛 협의 가능&- 레스토랑 절 대 불가 / 냄새나는 업종 X, 업종 협의 가능 (오마카세 등)&- 천장형시스템냉난방기 有&- 마감층고 4.2m (레이저줄자 측정)&- 자세한 사항 설명 필요&★★ 전속 입니다 ★★&&&■ 궁금하신 사항 언제든지 연락주시면 친절하게 설명 드리겠습니다^^ ■ &■ 소속공인중개사 황현경 실장 010-3254-2029 ■&&&※서울특별시 강남구 역삼로&㈜칸엠앤씨부동산중개법인&9250-8994 대표 김재욱","칸엠앤씨부동산중개법인길찾기
대표김재욱등록번호
소재지
서울특별시 강남구 역삼동 748-15 번지 중평빌딩1층
전화02-565-0303,010-3254-2029
매매1전세1월세4단기0","최대 2,070만원(VAT 별도)",0.9%
중소형사무실,월세,"2억 9,000/2,900","(-9431.55, -2376.05)",62.83855805558125,서울시 강남구 신사동,"시작V. 로데오상권, 도산공원 바로 앞 건물 1층 2층 전체, 무권리",515.56㎡/515.56㎡(전용률100%),1/5층,없음,0원,북향(주된 출입구 기준),즉시입주,가능,정보 없음,11대,개별난방/전기,2001.03.14,제1종 근린생활시설,2330677464,"★본 광고 형식은 시작부동산의 창작물로써 무단 사용 금지합니다★&&■ 매물정보 ■&【 금액 】 : 2.9억 / 2900만원 (관리비 실비)&【 권리 】 : 없음 &【 면적 】 : 계약 약 156평 &【 층수 】 : 1층, 2층 전체 / 엘레베이터 O&&&■ 상세정보 ■&【 위치 】 : 언주로 이면도로, 압구정로데오역 도보 8분&【 주차 】 : 무료주차 5대 + 발렛협의&【 입주일 】 : 즉시 가능&【 화장실 】 : 내부 남녀 구분 화장실&【 간판 】 : 전면 (협의)&【 냉난방기 】 : 천장형 시스템 에어컨&【 공간 】 : 현 원상복구 상태&【 특징 】 : &-지하 8대와 지상 3대 자주식 주차 공간&-후면 도산공원이 보이는 건물&-1층 전면 통창구조로 노출 좋은 자리 귀한 무.권.리&-학원, 병원, 쇼룸 및 사옥으로도 적극 추천&-3층 4층 함께 임대 가능.&&&■ 시작부동산만의 장점 ■&【 조율 】 - 렌트프리 / 금액 / 세부사항 / 조건 적극적 협의&【 순발력 】 빠르고 신속한 응대&【 젊음 】 - 넘치는 에너지의 기동력&【 센스 】 - 원스톱 브리핑 및 투어 후 매물 요점 자료 안내&【 정직 】 - 거짓 없이 정확하고 확실한 정보 전달&【 신뢰 】 - 계약 후에도 지속적인 관리&【 픽업 서비스 】&&☎연락처 : 010-6460-9296","주식회사시작부동산중개법인
대표채희도등록번호
소재지
서울특별시 강남구 논현동 100-13 1층
전화02-6953-6899,010-6460-9296","최대 2,871만원(VAT 별도)",0.9%
일반상가 윤빌딩,월세,"3억/2,000","(-9337.24, -2336.39)",164.90012153813475,서울시 강남구 신사동,"도산공원에서 느끼는 뉴욕 센트럴파크 무드의 4층 상가, 사무실",205.36㎡/164.66㎡(전용률80%),4/4층,없음,150만원,남향(주된 출입구 기준),즉시입주,가능,정보 없음,1대,-/-,2023.04.07,제2종 근린생활시설,2330155576,"부동산중개법인 오호이에서 직접 촬영한 공간 사진들은 오호이의 지적재산권이므로, 상업적 무단 사용 시 법적 조치하겠습니다.&&(주)부동산중개법인 오호이 입니다.&&◆ 매물개요&▷ 매물종류 : 제2종 근린생활시설&▷ 사용승인일 : 2023.04.07&▷ 건물의 방향 : 남향(주된 출입구 기준)&▷ 주차 가능 여부 : 가능 / 1대&&◆매물정보&▷ 도산공원 인근 독보적인 입체감의 건물 외관으로 손쉬운 아이캐치 가능.&▷ 층고 4.2M + 런웨이식 긴 세로 구조. 막힘없이 개방감 있는 실내 분위기 연출 가능.&▷ 전/측면 대형 통창으로 전면 막힘없는 영구 공원 뷰 보장, 채광 상태 및 공간 구조 최우수.&▷ 동일 건물 다수의 우량 임차인들 입점 완료 후 마지막 공실 자리.&▷ 복층형 구조로 개별 창고 공간 있음, 창고 공간 제외 전용 약 50평.&▷ 기계식 주차 1대 가능, 이 외 발렛 주차 이용. &▷ 건물 옥상 관리 잘된 야외 테라스 이용 가능.&&◆상담문의&▷ 담당 : 소속 공인중개사 고은새&▷ 연락처: 010-8896-0049&&◆오호이 사무실 위치&▷ 강남대로160길11, 2층 201호&▷ 주차안내 : 신사동 507-11 1층 송쉐프 발렛&&◆진행업체&#웍스아웃 #춈미 #PVCS #마르디메크르디 #논픽션 #낫띵리튼 #시엔느 #로우클래식 &#더바넷 #노티드 #다운타우너 #리틀넥 #카멜서울숲 #올드페리도넛 #마일스톤한남 #TBD&#그로브스토어 #파이프그라운드 #브라운야드 #유니버셜리스트 #섬머레인 #드파운드&#SIITA #첼시스하이볼신사 #올댓커피포레스트 #루에브르 #RAIVE #오프커피 #Chuu렌즈 등 &브랜드와 함께하고 있습니다.&&OHOI에서만 경험할 수 있는 노하우와 차별화된 감성, 정확한 상권분석으로 고객님들의 입장에서 책임감 있게 중개합니다.&&▷ https://linktr.ee/ohoi.xyz&&대표 김성한&제11680-2021-00351호","주식회사부동산중개법인오호이
대표김성한등록번호
소재지
서울특별시 강남구 신사동 507-10 2층 201호
전화02-6953-1933,010-3139-1933","최대 2,070만원(VAT 별도)",0.9%
일반상가,월세,"2억 5,000/2,500","(-9431.55, -2376.05)",62.83855805558125,서울시 강남구 신사동,도산공원 바로위 로데오 인근 연층 대형 사무실,556.06㎡/556.06㎡(전용률100%),3/5층,없음,0원,북향(주된 출입구 기준),즉시입주 협의가능,가능,-,11대,-/-,2001.03.14,제1종 근린생활시설,2329380109,"■ PROPERTY FOR LEASE ■&&▶ 압구정로데오역 도보 10분거리 도산공원 바로위에 위치한 3층,4층 연층 사무실입니다.&▶ 보증금 25,000만원 / 임대료 2,500만원 / 관리비 실비 / 전용면적 약 145평&▶ 내부 천장, 바닥 마감상태 , 엘리베이터 有, 남녀구분화장실, 자주식 주차 2대(추가협의)&▶ 현재 공실로 즉시 입주 가능합니다.&&=======================================&&아이앤티에셋부동산중개법인은 상업용 부동산 임대 전문으로 고객님들의 조건과 니즈에 맞는 최상의 매물을 소개해드리고 있습니다.&&현재 보시고 계시는 매물 이외에도 공개되지 않은 최고의 서울 전 지역 매물들을 보유하고 있습니다. &&고객님께서 만족하시는 매물을 찾으실 수 있도록 최선을 다하겠습니다.&&자세한 사항은 유선상 친절한 상담드리겠습니다. &&감사합니다.&&▣ 홈페이지&→ www.intrealty.co.kr&&▣ 네이버블로그 &→ blog.naver.com/itrealestate&&▣ 인스타그램 &→ www.instagram.com/i_t_real_estate/&&아이앤티에셋부동산중개법인&Client Focused, Gain Trust &☎ 문의 02-3442-0191 / 010-8903-1871","(주)아이앤티에셋부동산중개법인길찾기
대표김현지등록번호
소재지
서울특별시 강남구 언주로 732,(논현동)
전화02-3442-0191,010-8903-1871
최근 3개월 집주인확인 9건
매매12전세2월세197단기0","최대 2,475만원(VAT 별도)",0.9%
대형사무실,월세,"2억 5,000/2,500","(-9431.55, -2376.05)",62.83855805558125,서울시 강남구 신사동,도산공원 바로앞 로데오상권 3층4층 연층 사옥추천,556.06㎡/556.06㎡(전용률100%),3/5층,없음,0원,북향(주된 출입구 기준),즉시입주,가능,-,11대,개별난방/전기,2001.03.14,제1종 근린생활시설,2329290456,◆ 물건정보 ◆&&[위치] 도산공원&[층수] 3층~4층&[임대면적] 156평&[보증금] 2억5천만원&[임대료] 2500만원&[관리비] -&[권리금] -&[주차여부] 무료주차가능&[입주가능일] 즉시입주가능&&※ 1~4층 임대 가능합니다. 문의주세요!&&&* 모든 매물은 직접 확인하여 올리는 실매물입니다.&* 소유주 요청으로 광고하지 못하는 매물이 많습니다. &* 희망하시는 임대 조건에 맞는 최적의 매물 추천해드리겠습니다.,"뉴스공인중개사사무소길찾기
대표김건오등록번호
소재지
서울특별시 강남구 선릉로 844 1층 1호 (청담동) (청담동)
전화02-3443-0531,010-8855-0531
최근 3개월 집주인확인 20건
매매15전세4월세180단기0","최대 2,475만원(VAT 별도)",0.9%
대형사무실,월세,"5억/5,000","(-9431.55, -2376.05)",62.83855805558125,서울시 강남구 신사동,"실사진O, 도산공원 무권리 통임대, 사옥형 전용 220형",1071㎡/750㎡(전용률70%),1/5층,없음,0원,북향(주된 출입구 기준),즉시입주,불가능,-,-,개별난방/전기,2001.03.14,제2종 근린생활시설,2329221813,"💢매물정보💢&➕위치 : 압구정로데오 도산공원 라인, 하우스 도산 인근 &➕면적 : 실평수 약220평 (1F ~ 4F) &➕보증금 : 50,000만원&➕임대료 : 5,000만원&➕관리비 : 포함 &➕시설 : 원상복구 완료 상태 & ◎1F(55평)_ 홀, 남녀 구분 화장실& ◎2F(55평)_ 홀, 남녀 구분 화장실& ◎3F(55평)_ 홀, 남녀 구분 화장실, 공원뷰 테라스 & ◎4F(55평)_ 홀, 남녀 구분 화장실, 공원뷰 테라스 &➕입주 :즉시 입주 가능 &&&💢특징💢&1️⃣ 층별 적당한 면적 및 홀 구조로 탁 트인 내부 상태 &2️⃣ 단독 주차 시설 완비, 넓고 빠른 엘리베이터 시설 &3️⃣ 건물 후면부 통창으로 도산공원 단독 조망 뷰 &4️⃣ 테라스_ 냉난방기_ 무료주차 11대 &&&&※ 본 건물 입주 시 좋은 혜택으로 조율 하겠습니다.&※ 내부 답사 필요 시 언제든지 가능합니다.&※ 필요하신 정보 언제든지 요청주세요 (카카오톡 : koree123x)&&&&&&━🌐━🌐━🌐━🌐━🌐━🌐━🌐━🌐━🌐━🌐━&좋은 자리만 추천드립니다.&언제든지 연락주시면 상세 안내드리겠습니다.&대표 공인중개사 안혁준 010 3833 1467&& ◈부동산 다움 공인중개사사무소◈ & 소재지: 서울 강남구 압구정로 134, 타워빌딩 1층 & 등록번호: 11680-2021-00537 & 대표자 : 안혁준 010.3833.1467 / 02.555.1165 &━🌐━🌐━🌐━🌐━🌐━🌐━🌐━🌐━🌐━🌐━","부동산다움
대표안혁준등록번호
소재지
서울특별시 강남구 신사동 549-1 타워빌딩 104호 (신사동)
전화02-555-1165,010-3833-1467","최대 4,950만원(VAT 별도)",0.9%
대형사무실 압구정로데오 도산공원 라인,월세,"2억 9,000/2,900","(-9431.55, -2376.05)",62.83855805558125,서울시 강남구 신사동,-,515㎡/512.3㎡(전용률99%),1/5층,없음,0원,남향(주된 출입구 기준),즉시입주 협의가능,가능,정보 없음,11대,-/-,2001.03.14,제1종 근린생활시설,2328817597,"**********************************************&&청담 리츠 공인중개사무소 02) 540 - 1144&&**********************************************&&▣ 매 물 정 보 ▣&&&【월세】 2 억 9000 만/ 2900 만 / 관리비 포함&&&【면적】 건축물대장상 (155평)&&&【상세사항】&&- 압구정역 도보 8분거리&&- 주변 인프라 우수&&- 내부컨디션 최상&&- 빌딩&1층~2층 연층사용&&&&&**********************************************&&저희는 축적된 경험과 독보적인 물건 보유량, 전문적 실력을 겸비해 중개업을 하고 있습니다.&&청담, 압구정을 포함한 강남 전 지역에서 물건을 찾으시면 『청담 리츠』 입니다.&&♣ 고급빌라 및 아파트, 건물, 주택, 매입 및 매각 등 부동산과 관련된 다양한 컨설팅과 전문적인 서비스&&♣ 청담, 압구정을 포함한 강남 전 지역의 다양한 매물을 확보 및 고객님의 자산 현황과 투자 성향에 맞는 최적의 매물을 찾아 맞춤형 상담&&♣ 시세차익 실현 매각까지 원스톱 중개서비스&&♣ 예산 금액과 조건에 맞는 최상의 물건을 보여드립니&&**********************************************&&청담 리츠 공인중개사무소 ☎ 02) 540 - 1144 ☎","청담리츠공인중개사사무소길찾기
대표김종찬등록번호
소재지
서울특별시 강남구 압구정로79길 6 1층(청담동, 청담대현빌딩)
전화02-540-1144
최근 3개월 집주인확인 46건
매매230전세26월세439단기0","최대 2,871만원(VAT 별도)",0.9%
일반상가,월세,"5억/5,000","(-9431.55, -2376.05)",62.83855805558125,서울시 강남구 신사동,-,1071.62㎡/1057.8㎡(전용률99%),1/5층,없음,0원,남향(주된 출입구 기준),즉시입주 협의가능,가능,정보 없음,11대,-/-,2001.03.14,제1종 근린생활시설,2328817332,"**********************************************&&청담 리츠 공인중개사무소 02) 540 - 1144 &&**********************************************&&▣ 매 물 정 보 ▣&&&【월세】 5 억 / 5000 만 / 관리비 포함&& &【면적】 건축물대장상 (320평)&&& 【상세사항】&&- 압구정역 도보 8분거리 &&- 주변 인프라 우수&&- 내부컨디션 최상&&- 빌딩 & 1층~4층 통임대 &&&&&**********************************************&&저희는 축적된 경험과 독보적인 물건 보유량, 전문적 실력을 겸비해 중개업을 하고 있습니다.&&청담, 압구정을 포함한 강남 전 지역에서 물건을 찾으시면 『청담 리츠』 입니다.&&♣ 고급빌라 및 아파트, 건물, 주택, 매입 및 매각 등 부동산과 관련된 다양한 컨설팅과 전문적인 서비스&&♣ 청담, 압구정을 포함한 강남 전 지역의 다양한 매물을 확보 및 고객님의 자산 현황과 투자 성향에 맞는 최적의 매물을 찾아 맞춤형 상담&&♣ 시세차익 실현 매각까지 원스톱 중개서비스&&♣ 예산 금액과 조건에 맞는 최상의 물건을 보여드립니&&**********************************************&&청담 리츠 공인중개사무소 ☎ 02) 540 - 1144 ☎","청담리츠공인중개사사무소길찾기
대표김종찬등록번호
소재지
서울특별시 강남구 압구정로79길 6 1층(청담동, 청담대현빌딩)
전화02-540-1144
최근 3개월 집주인확인 46건
매매230전세26월세439단기0","최대 4,950만원(VAT 별도)",0.9%
일반상가,월세,"5억/5,000","(-9431.55, -2376.05)",62.83855805558125,서울시 강남구 신사동,도산공원 핫한거리 공원뷰 로데오상권 통임대 사옥추천,1071.62㎡/939.4㎡(전용률88%),1/5층,없음,0원,북향(주된 출입구 기준),즉시입주,가능,정보 없음,11대,개별난방/전기,2001.03.14,제1종 근린생활시설,2328394368,"◆ 물건정보 ◆&&[위치] 도산공원&[층수] 1층~4층&[임대면적] 324평&[보증금] 5억원&[임대료] 5000만원&[관리비] -&[권리금] -&[주차여부] 주차 11대&[입주가능일] 즉시입주가능&&- 도산공원 가장 핫한 거리&- 1~4층 통임대&- 분할임대가능&- 인근 젠틀몬스터, 우영미, 스투시 등 핫한 플래그십 상권&- 플래그십, 사옥 추천!&&&* 모든 매물은 직접 확인하여 올리는 실매물입니다.&* 소유주 요청으로 광고하지 못하는 매물이 많습니다. &* 희망하시는 임대 조건에 맞는 최적의 매물 추천해드리겠습니다.","뉴스공인중개사사무소길찾기
대표김건오등록번호
소재지
서울특별시 강남구 선릉로 844 1층 1호 (청담동) (청담동)
전화02-3443-0531,010-8855-0531
최근 3개월 집주인확인 20건
매매15전세4월세180단기0","최대 4,950만원(VAT 별도)",0.9%
일반상가,월세,"2억 9,000/2,900","(-9431.55, -2376.05)",62.83855805558125,서울시 강남구 신사동,도산공원 1층 2층 연층 전용130 주차5,247.44㎡/247.44㎡(전용률100%),1/5층,없음,0원,북향(주된 출입구 기준),즉시입주,가능,정보 없음,11대,개별냉난방/-,2001.03.14,제1종 근린생활시설,2327380059,"★ 지금부동산중개법인 소속공인중개사 김영호과장 ★ &■ TEL. 02-556-0609&■ HP. 010-3911-8826 &■ Add. 서울특별시 강남구 역삼동 681-15번지 2F&&&■ 건물 상세 내역 ■ &&▣ 도산공원 북측면 &&▣ 1층 60평 / 2층 70평&&▣ 내부남녀분리화장실 무료주차 5대 &&▣ 엘리베이터 有 &&▣ 주출입문 기준 : 북향 / 근린생활시설&&▣ 무료주차 5대&&&▶지금부동산중개법인 김영호 소속공인중개사 과장◀&☏☎ 010 3911 8826 ☎☏&&━━━━━━━━━━━━━━━━━━━━━━━━━& 항상 직접 찍은 100% 실사진, 실매물만을 광고하고,&의뢰인 니즈에 맞는 최선의 물건으로 중개하겠습니다. &━━━━━━━━━━━━━━━━━━━━━━━━━&&▶ 강남 서초 일대 상가 사무실 매물 다수 확보 ◀& ◇임대료 조정, 입주 시기, 렌트프리 맞춤 중개& ◇방문 예약 시 (금액, 위치, 조건) 알려주시면 & 인근 유사지역 내에 위치한 대체 매물 추천&&소중한 시간 낭비하지않게 원하는 물건만 보여드리겠습니다!&망설이지 마시고 언제든 연락주세요!&★ 지금부동산중개법인 소속공인중개사 김영호과장 ★ &■ TEL. 02-556-0609&■ HP. 010-3911-8826 &■ Add. 서울특별시 강남구 역삼동 681-15번지 2F","지금부동산중개법인주식회사길찾기
대표전아영등록번호
소재지
서울특별시 강남구 역삼동 681-15 2F 201호
전화010-3911-8826
최근 3개월 집주인확인 5건
매매52전세0월세609단기0","최대 2,871만원(VAT 별도)",0.9%
